OBJECTID,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,GEO_PARENT_NAME,POP_DENSITY,B01001_001E,B01001_001M,B09020_021E,B09020_021M,SHAPE_Length,SHAPE_Area
1,01,001,00161526,0500000US01001,01001,Autauga,06,1539602137,25706961,Alabama,35.9703319897379,55380,0,134,133,2.05266356766598,0.150257060040503
2,01,003,00161527,0500000US01003,01003,Baldwin,06,4117621645,1132980868,Alabama,51.6876047264901,212830,0,768,165,4.2782371675872,0.409922089592883
3,01,005,00161528,0500000US01005,01005,Barbour,06,2292160139,50523213,Alabama,11.0642356825314,25361,0,187,99,2.56622607428772,0.223252858108699
4,01,007,00161529,0500000US01007,01007,Bibb,06,1612167476,9602089,Alabama,13.9520244235469,22493,0,172,107,1.88695497317767,0.156524917937994
5,01,009,00161530,0500000US01009,01009,Blount,06,1670103866,15015467,Alabama,34.537372898938,57681,0,237,95,2.39251166423725,0.164403907744003
6,01,011,00161531,0500000US01011,01011,Bullock,06,1613076054,6038093,Alabama,6.35307924545013,10248,0,118,100,2.04550519990056,0.154695936241504
7,01,013,00161532,0500000US01013,01013,Butler,06,2012002531,2701198,Alabama,9.85485837840629,19828,0,142,62,1.81832728315998,0.191747488822501
8,01,015,00161533,0500000US01015,01015,Calhoun,06,1569195268,16587192,Alabama,73.0425348185539,114618,0,489,176,2.19605572698544,0.154326124445499
9,01,017,00161534,0500000US01017,01017,Chambers,06,1545085607,16971700,Alabama,21.7852006694669,33660,0,215,110,1.71419317788895,0.150588059925721
10,01,019,00161535,0500000US01019,01019,Cherokee,06,1433623319,120308342,Alabama,18.0682049857198,25903,0,158,86,1.88609585693143,0.151937539873073
11,01,021,00161536,0500000US01021,01021,Chilton,06,1794477075,20592142,Alabama,24.5503275654831,44055,0,144,88,2.08480627293986,0.174805837017501
12,01,023,00161537,0500000US01023,01023,Choctaw,06,2365869841,19144469,Alabama,5.46310696218897,12925,0,65,73,2.68449823012965,0.227715474561065
13,01,025,00161538,0500000US01025,01025,Clarke,06,3207494106,36657891,Alabama,7.52238326950179,24128,0,155,57,3.77714258402117,0.308588651705997
14,01,027,00161539,0500000US01027,01027,Clay,06,1564251834,5285207,Alabama,8.52612073715491,13337,0,183,64,2.02264206298064,0.151835286132498
15,01,029,00161540,0500000US01029,01029,Cleburne,06,1450663786,2354896,Alabama,10.2821895355427,14916,0,81,81,2.17305251465344,0.141308072325305
16,01,031,00161541,0500000US01031,01031,Coffee,06,1758565919,3907189,Alabama,29.3773463035024,51662,0,262,87,1.67860606627216,0.167183206983496
17,01,033,00161542,0500000US01033,01033,Colbert,06,1535202321,79700278,Alabama,35.6767308456929,54771,0,234,87,2.17571366130083,0.158871019449009
18,01,035,00161543,0500000US01035,01035,Conecuh,06,2202007855,6632046,Alabama,5.62849944965342,12394,0,0,19,2.56553459887335,0.209562590578
19,01,037,00161544,0500000US01037,01037,Coosa,06,1685850815,39987271,Alabama,6.38075439670503,10757,0,31,40,1.74161538653744,0.166415550838497
20,01,039,00161545,0500000US01039,01039,Covington,06,2669134207,34226200,Alabama,13.9371036130144,37200,0,346,147,2.34789986321275,0.255973627638298
21,01,041,00161546,0500000US01041,01041,Crenshaw,06,1576952799,5388562,Alabama,8.77895648416297,13844,0,137,76,2.27140528801132,0.150577636550001
